customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST1,Female,0,No,No,64,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,One year,No,Bank transfer (automatic),75.34,7453.86,No
CUST2,Male,0,Yes,No,63,No,Yes,DSL,Yes,No internet service,No,No,Yes,Yes,One year,No,Mailed check,68.91,7493.18,Yes
CUST3,Male,0,No,No,55,No,No,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),36.61,3392.64,Yes
CUST4,Male,0,Yes,Yes,53,No,No,DSL,Yes,Yes,No internet service,No,Yes,Yes,Two year,Yes,Mailed check,96.64,6918.01,No
CUST5,Male,1,No,No,33,No,No phone service,No,No internet service,No internet service,No,No internet service,No,No,One year,Yes,Credit card (automatic),31.07,3846.81,Yes
CUST6,Male,1,No,Yes,69,No,No,No,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),79.85,4358.9,Yes
CUST7,Female,1,No,Yes,65,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,54.44,5229.01,No
CUST8,Female,0,No,No,31,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,No,One year,No,Electronic check,66.06,4740.13,Yes
CUST9,Male,1,Yes,No,41,No,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Electronic check,108.67,1761.21,Yes
CUST10,Female,1,Yes,Yes,49,No,Yes,No,Yes,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Mailed check,93.17,2303.37,Yes
CUST11,Female,1,Yes,No,68,Yes,Yes,DSL,No internet service,No,Yes,No,No,No,One year,No,Mailed check,84.89,7240.35,Yes
CUST12,Female,1,Yes,Yes,49,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,68.1,532.72,No
CUST13,Male,1,Yes,Yes,69,No,No,DSL,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,84.67,6248.75,Yes
CUST14,Female,1,Yes,Yes,67,No,Yes,No,No internet service,No,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,65.14,6359.0,No
CUST15,Male,1,No,No,17,No,No phone service,Fiber optic,Yes,No,No internet service,Yes,No internet service,Yes,Two year,Yes,Mailed check,95.24,3184.79,Yes
CUST16,Male,1,Yes,Yes,63,Yes,Yes,DSL,Yes,No,No,Yes,No,No internet service,One year,No,Electronic check,58.48,6839.28,Yes
CUST17,Female,0,No,Yes,48,Yes,No,DSL,No,Yes,Yes,No,No,No internet service,One year,No,Bank transfer (automatic),84.14,6137.49,Yes
CUST18,Female,1,No,Yes,45,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),105.2,2481.11,Yes
CUST19,Male,0,Yes,Yes,20,Yes,Yes,DSL,No,No,No internet service,No,No internet service,No,One year,Yes,Mailed check,88.0,6835.24,Yes
CUST20,Female,0,Yes,Yes,16,No,No phone service,No,No,Yes,Yes,No,No internet service,No internet service,One year,No,Credit card (automatic),76.45,6795.12,Yes
CUST21,Male,1,Yes,No,5,No,No phone service,DSL,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,113.89,163.13,No
CUST22,Female,1,No,Yes,10,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),82.63,3145.43,Yes
CUST23,Female,0,Yes,No,1,No,No,DSL,Yes,Yes,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),78.2,1427.68,Yes
CUST24,Female,1,Yes,Yes,71,Yes,No,No,No internet service,No,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),22.11,3111.89,Yes
CUST25,Female,1,Yes,No,20,Yes,No phone service,No,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,115.96,742.0,Yes
CUST26,Female,0,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.72,4058.92,Yes
CUST27,Female,0,Yes,Yes,72,Yes,No phone service,No,Yes,Yes,Yes,No,No,No internet service,Two year,Yes,Electronic check,30.04,4000.7,No
CUST28,Female,0,Yes,Yes,29,No,Yes,No,Yes,Yes,Yes,Yes,No,No internet service,One year,No,Bank transfer (automatic),27.54,2009.88,Yes
CUST29,Male,1,No,Yes,33,No,No,DSL,Yes,Yes,No internet service,No,No,Yes,Two year,Yes,Bank transfer (automatic),44.55,2527.31,Yes
CUST30,Female,1,Yes,Yes,31,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),65.03,5963.14,No
CUST31,Female,1,No,Yes,30,No,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No,Two year,No,Credit card (automatic),37.73,1604.19,Yes
CUST32,Female,0,Yes,Yes,67,No,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Mailed check,32.04,2083.44,Yes
CUST33,Male,0,Yes,No,59,No,No,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.2,822.89,No
CUST34,Female,0,Yes,No,6,No,No phone service,DSL,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,66.49,5702.76,Yes
CUST35,Male,0,No,Yes,56,No,No,No,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),108.2,6367.2,Yes
CUST36,Female,0,Yes,No,70,No,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,Two year,No,Electronic check,38.73,238.85,No
CUST37,Male,1,Yes,No,22,Yes,No,DSL,No internet service,No internet service,No internet service,No,Yes,No,Two year,Yes,Mailed check,59.05,1087.74,Yes
CUST38,Female,1,No,Yes,53,No,No,No,No internet service,No internet service,No,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),96.32,4704.3,No
CUST39,Male,0,Yes,No,72,Yes,No,No,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),28.97,4429.88,No
CUST40,Female,0,No,No,21,No,No phone service,Fiber optic,No internet service,No,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),114.68,5940.68,Yes
CUST41,Male,0,No,Yes,70,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Mailed check,113.35,7362.09,No
CUST42,Male,1,Yes,Yes,42,No,No,No,No internet service,No,No,No internet service,Yes,No,Two year,Yes,Mailed check,58.07,6581.02,Yes
CUST43,Male,0,No,No,38,Yes,Yes,No,No,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),114.64,3430.03,Yes
CUST44,Female,1,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.92,5615.17,No
CUST45,Female,0,No,No,15,No,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,25.49,3092.72,Yes
CUST46,Female,1,Yes,No,29,Yes,No phone service,No,No,No,No,No internet service,Yes,No,Two year,Yes,Mailed check,65.0,1112.25,No
CUST47,Female,0,No,No,57,Yes,Yes,No,Yes,No internet service,Yes,Yes,No,No,Two year,No,Mailed check,25.48,768.87,No
CUST48,Female,1,Yes,No,43,Yes,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),60.82,1693.92,Yes
CUST49,Female,1,Yes,Yes,59,No,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),42.6,2903.0,Yes
CUST50,Male,1,Yes,No,54,No,Yes,DSL,No internet service,Yes,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),67.66,2760.68,No
CUST51,Male,0,Yes,No,20,No,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Electronic check,110.22,270.78,Yes
CUST52,Female,0,Yes,No,3,No,No,DSL,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,84.55,3822.27,No
CUST53,Male,0,No,No,25,Yes,No,No,Yes,No,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),51.0,3885.49,Yes
CUST54,Female,1,Yes,No,71,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No,One year,Yes,Mailed check,97.44,6984.2,No
CUST55,Female,0,Yes,No,24,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,No internet service,One year,Yes,Electronic check,65.56,6233.13,Yes
CUST56,Male,0,No,No,31,No,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),56.09,5222.89,No
CUST57,Male,0,No,Yes,70,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),110.83,784.86,No
CUST58,Male,0,No,Yes,58,No,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,23.63,1370.62,Yes
CUST59,Female,1,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,No internet service,No,No,No,One year,Yes,Credit card (automatic),113.97,7377.03,Yes
CUST60,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No,Two year,No,Bank transfer (automatic),41.79,2728.27,Yes
CUST61,Male,1,No,Yes,13,No,No phone service,DSL,No,No,Yes,No internet service,No,No,One year,Yes,Credit card (automatic),87.52,3897.84,Yes
CUST62,Female,1,Yes,No,3,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,95.29,5582.47,No
CUST63,Female,1,Yes,Yes,46,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No,No internet service,Two year,No,Electronic check,32.49,4656.35,No
